"ID";"UserID";"CheckTime";"RecordType";"Stato";"Note"
"27";"85";"2025-06-25 09:43:00";"0";"Rifiutato";NULL
"28";"28";"2025-07-07 13:30:00";"2";"Approvato";NULL
"29";"28";"2025-07-07 14:30:00";"3";"Approvato";NULL
"30";"28";"2025-07-07 16:26:00";"4";"Rifiutato";NULL
"31";"28";"2025-07-07 16:28:00";"5";"Rifiutato";NULL
"32";"28";"2025-07-07 17:27:00";"0";"Rifiutato";NULL
"33";"28";"2025-07-07 17:29:00";"0";"Rifiutato";NULL
"34";"28";"2025-07-07 17:30:00";"0";"Rifiutato";NULL
"35";"28";"2025-07-07 17:31:00";"0";"Rifiutato";NULL
"36";"28";"2025-07-07 17:33:00";"0";"Rifiutato";NULL
"37";"28";"2025-07-07 17:57:00";"0";"Rifiutato";NULL
"38";"28";"2025-07-07 17:59:00";"5";"Rifiutato";NULL
"39";"28";"2025-07-07 18:01:00";"1";"Rifiutato";NULL
"40";"28";"2025-07-07 18:03:00";"0";"Rifiutato";NULL
"41";"1";"2025-07-10 11:22:00";"4";"Rifiutato";NULL
"42";"28";"2025-07-10 12:29:00";"5";"Rifiutato";NULL
"43";"28";"2025-08-04 09:12:00";"0";"Approvato";
"44";"28";"2025-08-04 13:26:00";"2";"Approvato";
"45";"28";"2025-08-04 14:36:00";"3";"Approvato";
"46";"28";"2025-08-04 18:32:00";"1";"Approvato";
"47";"46";"2025-08-26 09:10:00";"0";"Approvato";
"48";"50";"2025-09-15 09:20:00";"0";"Approvato";
"49";"50";"2025-09-15 13:26:00";"2";"Approvato";
"50";"50";"2025-09-15 14:39:00";"3";"Approvato";
"51";"50";"2025-09-15 18:30:00";"1";"Approvato";
"52";"34";"2025-09-16 09:17:00";"0";"Approvato";
"53";"34";"2025-09-16 13:30:00";"2";"Approvato";
"54";"34";"2025-09-16 14:17:00";"3";"Approvato";
"55";"34";"2025-09-16 18:30:00";"1";"Approvato";
"56";"28";"2025-09-17 09:17:00";"0";"Approvato";
"57";"45";"2025-09-17 15:40:00";"5";"Approvato";
"58";"85";"2025-09-23 10:11:00";"0";"Approvato";
"59";"34";"2025-09-29 09:33:00";"0";"Approvato";
"60";"34";"2025-09-29 13:30:00";"2";"Approvato";
"61";"34";"2025-09-29 14:37:00";"3";"Approvato";
"62";"34";"2025-09-30 13:39:00";"2";"Approvato";
"63";"34";"2025-09-30 09:14:00";"0";"Approvato";
"64";"34";"2025-10-03 09:30:00";"0";"Approvato";
"65";"34";"2025-10-03 13:33:00";"2";"Approvato";
"66";"34";"2025-10-03 14:31:00";"3";"Approvato";
"67";"34";"2025-10-03 18:30:00";"1";"Approvato";
"68";"85";"2025-10-06 09:48:00";"0";"Approvato";
"69";"28";"2025-10-06 14:31:00";"3";"Approvato";
"70";"34";"2025-10-14 09:30:00";"0";"Approvato";
"71";"34";"2025-10-21 09:40:00";"0";"Approvato";
"72";"34";"2025-10-21 13:36:00";"2";"Approvato";
"73";"34";"2025-10-14 18:48:00";"1";"Approvato";
"74";"34";"2025-10-22 09:43:00";"0";"Approvato";
"75";"34";"2025-10-21 14:31:00";"3";"Approvato";
"76";"34";"2025-10-21 18:30:00";"1";"Approvato";
"77";"34";"2025-10-22 18:28:00";"1";"Approvato";
"78";"84";"2025-10-24 08:00:00";"0";"Approvato";
"79";"45";"2025-10-30 22:00:00";"1";"Approvato";
"80";"85";"2025-11-10 09:20:00";"0";"Approvato";
"81";"85";"2025-11-17 09:22:00";"0";"Approvato";
"82";"42";"2025-11-19 14:18:00";"5";"Approvato";
"83";"42";"2025-11-19 15:25:00";"3";"Approvato";
"84";"53";"2025-11-19 14:30:00";"3";"Approvato";
"85";"53";"2025-11-18 09:30:00";"0";"Approvato";
"86";"45";"2025-11-25 20:30:00";"1";"Approvato";
"87";"45";"2025-12-02 08:38:00";"0";"Approvato";
"88";"45";"2025-12-02 14:00:00";"4";"Approvato";"progetto rai-way"
"89";"45";"2025-12-03 01:40:00";"5";"Approvato";
"90";"45";"2025-12-17 22:45:00";"1";"Approvato";
"91";"45";"2025-12-18 08:00:00";"0";"Approvato";
"92";"85";"2025-12-18 08:00:00";"0";"Approvato";
"93";"39";"2025-12-16 14:30:00";"3";"Approvato";
"94";"45";"2025-12-29 08:45:00";"0";"Approvato";
"95";"45";"2026-02-03 20:31:00";"1";"In attesa";NULL
"96";"45";"2026-02-03 09:45:00";NULL;"In attesa";NULL
"97";"39";"2026-02-09 09:40:00";"1";"Approvato";NULL
"98";"39";"2026-02-09 13:30:00";"2";"Approvato";NULL
"99";"39";"2026-02-09 14:30:00";"3";"Approvato";NULL
"100";"39";"2026-02-09 19:00:00";"0";"Approvato";NULL
